window_idx,i,j,satellite_i,satellite_j,peak_coherence,peak_delay_ns,mean_coherence,p95_coherence
0,1,9,,,0.9954274192708855,3306.6666666666665,0.8993338527148026,0.9253857561799399
0,1,10,,,0.9954274192708855,3306.6666666666665,0.8993338527148026,0.9253857561799399
0,1,11,,,1.3894166362095396e-16,3312.0,4.56169446361162e-18,1.4728566243939595e-17
0,1,12,,,1.3894166362095396e-16,3312.0,4.56169446361162e-18,1.4728566243939595e-17
0,1,13,,,1.3896924570322942e-16,3312.0,4.5625902848352e-18,1.473055648854779e-17
0,1,14,,,1.3896924570322942e-16,3312.0,4.5625902848352e-18,1.473055648854779e-17
0,1,15,,,1.3911346930447448e-16,3312.0,4.56732306416084e-18,1.4742043330957964e-17
0,1,16,,,1.1834377722709974e-17,3312.0,4.815766760534178e-19,1.5076921255044922e-18
0,1,17,,,1.179771374792096e-17,3312.0,4.802470183436492e-19,1.5034114542878738e-18
0,1,18,,,1.179771374792096e-17,3312.0,4.802470183436492e-19,1.5034114542878738e-18
0,1,19,,,1.1886752654049214e-17,3312.0,4.834839889297472e-19,1.5138036986382033e-18
0,1,20,,,1.1709034719864339e-17,3312.0,4.770193856448754e-19,1.493047112930049e-18
0,1,21,,,1.1709034719864339e-17,3312.0,4.770193856448754e-19,1.493047112930049e-18
0,1,22,,,0.7386667893162069,-3637.3333333333335,0.4479838671178751,0.5347417587977774
0,1,23,,,0.7383457741709966,-3637.3333333333335,0.4475652977057642,0.534347068596996
0,1,24,,,0.7386769782385093,-3637.3333333333335,0.44796785627513436,0.5347323558640649
0,1,25,,,0.7385007600041782,-3637.3333333333335,0.44776356538480194,0.5345390191194087
0,1,26,,,0.7385007600041782,-3637.3333333333335,0.44776356538480194,0.5345390191194087
0,1,27,,,0.7382708426521113,-3637.3333333333335,0.44748302819278357,0.5342710490722887
0,1,28,,,1.67841356956323e-18,3312.0,7.503073019288342e-20,2.2877271238612144e-19
0,1,29,,,1.67841356956323e-18,3312.0,7.503073019288342e-20,2.2877271238612144e-19
